,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
9998,5261164,3977120,1123024,1128288,1136352,0.0
9999,5272980,2860704,1122464,1131088,1126720,359.99
10000,5280955,3649632,1123024,1127952,1135120,0.0
10001,5287810,1533840,1123136,1128960,1121904,0.0
10002,5288291,3563616,1122464,1124816,1189440,18.74
10003,5288362,2077040,1123024,1127952,1132768,0.0
10004,5290313,3294032,1122352,1123584,1136352,1738.25
10005,5291396,3302880,1123024,1127952,1188096,332.5
10006,5306126,3977344,1122800,1135008,1128176,139.0
10007,5315190,3864000,1124480,1137360,1192016,122.5
10008,5319121,2811536,1123024,1127728,1135120,159.09
10009,5321258,3677968,1123136,1128848,1125488,32.76
10010,5334245,2523472,1123024,1127840,1154832,189.0
10011,5338673,2072336,1123024,1127952,1135120,0.0
10012,5352670,2546880,1123136,1128848,1125488,60.05
10013,5361244,3649744,1123024,1127952,1135120,0.0
10014,5368643,3366608,1123696,1133552,1188320,112.0
10015,5368995,3863888,1124480,1137360,1192016,122.5
10016,5386277,3413648,1122352,1123808,1170512,368.84
10017,5389925,3362352,1123696,1133552,1188320,105.0
10018,5391274,3360224,1123696,1131984,1188320,731.25
10019,5405505,2271024,1123024,1127728,1124144,46.2
10020,5411321,3864112,1124480,1137360,1192016,164.39
10021,5411905,3313072,1123248,1126048,1188432,273.0
10022,5433940,3509520,1123024,1127952,1139488,101.14
10023,5455754,3965360,1122912,1127616,1121568,25.0
10024,5458338,2019360,1123024,1128176,1127840,0.0
10025,5461888,2723728,1123024,1127840,1130528,182.61
10026,5462417,3435152,1123696,1131984,1182720,319.02
10027,5471241,3945872,1123024,1127952,1140496,136.36
10028,5471951,3964800,1122912,1127616,1121568,235.04
10029,5479169,2389072,1123248,1129632,1124256,103.2
10030,5480412,3889536,1124480,1126160,1180480,24.9
10031,5486228,4005120,1122800,1137696,1182944,296.65
10032,5489632,3917200,1122352,1123696,1134896,651.38
10033,5496550,4019456,1123472,1131312,1150128,50.0
10034,5496918,3941056,1122464,1124704,1148784,165.0
10035,5501163,2245712,1122912,1127616,1152144,0.0
10036,5527233,3920560,1123248,1129632,1185968,119.88
10037,5533147,3953712,1122912,1127280,1156960,158.5
10038,5546308,3783136,1122464,1124816,1138144,120.0
10039,5576821,2175040,1122800,1134896,1191344,0.0
10040,5579127,2565248,1123024,1127728,1130528,99.0
10041,5588575,2534336,1122464,1131088,1170848,0.0
10042,5589094,4018336,1123248,1128512,1128064,178.0
10043,5599470,2871232,1123024,1127952,1132544,0.0
10044,5601946,2402736,1122912,1127616,1132880,74.25
10045,5605121,2247168,1123024,1127840,1140496,0.0
10046,5610027,3902416,1122912,1127280,1131312,168.0
10047,5616381,1489936,1123024,1127952,1140496,0.0
10048,5621995,2380336,1122912,1127616,1152144,0.0
10049,5623687,3418240,1122912,1127616,1145648,240.0
10050,5630829,2806720,1122352,1123696,1136688,558.05
10051,5632523,2779168,1123024,1127952,1129744,0.0
10052,5638966,3995264,1122464,1124704,1194032,22.0
10053,5639091,3953488,1122912,1127280,1156960,170.7
10054,5641827,3366384,1123696,1133664,1188320,227.5
10055,5645062,3993920,1122464,1124816,1194032,15.0
10056,5651385,3864336,1124480,1137360,1192016,91.0
10057,5651567,3288208,1123024,1128176,1136352,120.87
10058,5662224,3408048,1123024,1127728,1140496,184.2
10059,5666389,2270688,1124704,1139488,1124144,113.39
10060,5666549,1414448,1122912,1127168,1188768,47.0
10061,5670881,2554272,1123024,1127840,1130864,240.0
10062,5679798,3994032,1122464,1124816,1194032,26.95
10063,5699590,1539216,1123136,1128960,1186416,0.0
10064,5701285,3987984,1122464,1124480,1194032,36.75
10065,5710181,3989216,1122464,1124480,1194032,48.75
10066,5716793,3413872,1122352,1123808,1170512,230.0
10067,5735550,2537360,1123024,1128176,1129744,0.0
10068,5741172,4029984,1122912,1127168,1122016,94.5
10069,5749624,3999408,1122464,1124592,1194032,87.5
10070,5753720,2500064,1123024,1128176,1128176,0.0
10071,5757464,2786672,1123024,1127952,1129744,0.0
10072,5759125,4027520,1122464,1124144,1193696,380.0
10073,5764339,2530528,1123024,1127840,1139600,0.0
10074,5769152,3992464,1122464,1124816,1194032,29.2
10075,5769300,2949520,1122352,1123696,1164464,131.0
10076,5778849,2768080,1122464,1124704,1180928,191.25
10077,5779781,3094784,1123248,1129632,1153376,32.0
10078,5791186,3407824,1123024,1127952,1140496,105.26
10079,5808373,2640848,1124480,1140272,1120784,81.0
10080,5831298,2439696,1122464,1124144,1134224,0.0
10081,5834875,3999184,1122912,1127616,1194032,34.3
10082,5840036,4001312,1122912,1127616,1194032,41.3
10083,5850845,1579312,1122464,1124144,1130752,865.0
10084,5854213,2075024,1123024,1127728,1135904,0.0
10085,5854809,2449776,1122912,1127280,1130528,0.0
10086,5860575,2086672,1123136,1128848,1127504,0.0
10087,5861723,2573984,1123248,1129632,1179584,105.0
10088,5881999,4049920,1124704,1140160,1193136,588.82
10089,5890439,3972080,1122576,1125040,1193696,151.7
10090,5898251,1797824,1123024,1127952,1123024,165.32
10091,5904800,3964464,1122912,1127616,1121568,38.46
10092,5923090,2528624,1122464,1124816,1137360,0.0
10093,5927793,2641072,1124480,1140272,1120784,0.0
10094,5936897,2917376,1122464,1124592,1185408,146.25
10095,5940648,2234960,1123024,1128400,1140048,0.0
10096,5946594,1395072,1124480,1140272,1120784,0.0
10097,5957445,1395184,1124480,1140272,1120784,0.0
10098,5963192,2949744,1122352,1123696,1164464,131.0
10099,5964764,1446032,1123024,1127952,1130976,0.0
10100,6005384,4079376,1122464,1124480,1151024,0.0
10101,6007209,3288992,1123024,1138816,1136352,74.27
10102,6012933,4079488,1122464,1124480,1151024,0.0
10103,6027770,3522512,1122352,1123472,1170512,242.56
10104,6030650,3987760,1122464,1124480,1194032,96.75
10105,6042876,4058096,1122800,1126720,1195600,120.0
10106,6053638,3832528,1123248,1129632,1122912,37.35
10107,6064747,2758000,1124816,1140384,1128064,456.14
10108,6076144,2279536,1122912,1127280,1153152,0.0
10109,6081368,4077248,1123024,1127952,1135120,118.15
10110,6085010,4086992,1122800,1134448,1148000,0.0
10111,6087620,1532720,1123136,1128960,1121904,0.0
10112,6089634,2530640,1123024,1127840,1139600,275.0
10113,6101300,4052944,1122800,1138592,1193136,219.48
10114,6101304,4055968,1122688,1138704,1195376,29.47
10115,6104111,4113424,1122800,1137696,1182944,169.15
10116,6107834,3978016,1123024,1127728,1136688,0.0
10117,6107986,1480416,1123024,1127952,1140496,0.0
10118,6114631,3862768,1123024,1128288,1140496,46.42
10119,6119217,4070976,1123136,1132320,1128624,90.2
10120,6119812,4071088,1123136,1132320,1128624,73.8
10121,6122298,3949344,1124480,1126160,1191344,130.2
10122,6123994,4070528,1123136,1132320,1128624,61.5
10123,6137592,4121264,1123024,1127840,1139600,0.0
10124,6140903,4076128,1123024,1127728,1135120,176.37
10125,6157397,4112864,1124816,1140384,1196720,104.0
10126,6157762,4112528,1124816,1140384,1196720,26.0
10127,6162589,3369520,1123696,1131984,1188320,346.5
10128,6166708,1383312,1122688,1125600,1122240,197.5
10129,6175481,2582944,1122576,1124928,1123248,276.31
10130,6176349,4085312,1122912,1127280,1123248,0.0
10131,6179574,2401840,1123248,1129632,1125040,0.0
10132,6182524,4068064,1124480,1140272,1127728,48.75
10133,6182981,4075456,1122912,1135120,1128624,93.5
10134,6186512,4060336,1124816,1140720,1130528,187.5
10135,6192408,4120928,1123024,1127840,1139600,0.0
10136,6193882,4103568,1123136,1128960,1126720,0.0
10137,6198579,4119360,1122800,1134448,1176896,0.0
10138,6199703,4106256,1122912,1127280,1151248,0.0
10139,6200272,4089232,1122800,1134448,1179920,0.0
10140,6204825,3953600,1122912,1127280,1156960,142.2
10141,6210340,1818544,1123024,1127952,1167488,0.0
10142,6214074,4085200,1122912,1127280,1123248,0.0
10143,6215362,4111968,1124816,1140384,1196720,160.16
10144,6220410,4040736,1124480,1126272,1136352,296.29
10145,6222232,4093824,1123024,1128288,1125040,0.0
10146,6226440,4111856,1124816,1140384,1196720,160.16
10147,6228358,4081392,1122912,1127168,1136128,0.0
10148,6230834,3978464,1124480,1126160,1191344,66.25
10149,6234949,4125296,1122800,1140832,1188992,60.0
10150,6235684,1446368,1123024,1127952,1135120,0.0
10151,6236132,1841840,1123024,1128288,1139488,61.2
10152,6237388,1817088,1123024,1127952,1167488,0.0
10153,6239475,4029872,1122912,1127168,1122016,151.04
10154,6240379,3997168,1122464,1131088,1194032,71.5
10155,6241149,3997840,1122464,1131088,1194032,228.75
10156,6244614,3294592,1122352,1123584,1136352,1665.83
10157,6245417,2639056,1123136,1128960,1168384,0.0
10158,6245862,2427600,1123248,1128512,1128064,0.0
10159,6245982,4025168,1122688,1125600,1145536,193.55
10160,6248697,2553600,1122352,1123584,1136352,582.5
10161,6249532,3996944,1122464,1131088,1194032,687.13
10162,6252777,4082400,1123024,1127952,1152256,0.0
10163,6260425,4094272,1123024,1128288,1125040,0.0
10164,6261415,4118464,1123024,1127952,1140496,0.0
10165,6262856,4124176,1122800,1140832,1188992,60.0
10166,6264494,2800560,1123136,1129072,1121568,85.47
10167,6266771,1483216,1123024,1127952,1132768,0.0
10168,6268430,3951920,1125040,1141280,1193136,525.1
10169,6273345,3794336,1122352,1123696,1134896,275.23
10170,6274773,4123056,1123248,1129632,1127168,0.0
10171,6275478,3720080,1122464,1124816,1191232,90.0
10172,6285606,3963568,1123248,1129632,1134896,106.66
10173,6298134,4069744,1122912,1127392,1128624,65.6
10174,6298341,3293584,1122352,1123584,1136352,0.0
10175,6299294,1495312,1123024,1128176,1132544,0.0
10176,6304269,3992240,1122464,1124816,1194032,48.45
10177,6305933,4063584,1122800,1126720,1189104,106.4
10178,6306990,3106208,1122912,1127280,1123248,0.0
10179,6313617,4124960,1122800,1140832,1188992,144.0
10180,6313850,1867600,1123136,1130304,1177120,0.0
10181,6314855,3970064,1123024,1128288,1130976,0.0
10182,6316998,2278528,1123136,1132320,1134560,0.0
10183,6317114,4087216,1122800,1134448,1148000,0.0
10184,6322171,2385264,1122464,1131088,1153488,337.0
10185,6329120,3946096,1122912,1127616,1192912,0.0
10186,6331959,4109952,1123248,1128512,1147328,267.75
10187,6336122,4093040,1122800,1126720,1195600,0.0
10188,6339036,4150496,1122576,1125152,1197728,105.0
10189,6341299,4078592,1122464,1124592,1170400,0.0
10190,6345127,4120592,1122800,1134448,1196944,0.0
10191,6348447,4091808,1122800,1134448,1130528,0.0
10192,6348577,4068400,1124480,1140272,1127728,157.5
10193,6349249,1954736,1122464,1124704,1128400,0.0
10194,6358053,4071984,1123136,1132320,1128624,61.5
10195,6359690,3931872,1122464,1124592,1132880,0.0
