,customer_id,Recency_flag,monetary_flag
6237,7149968,5,1
6263,7168560,5,1
6272,7173600,5,1
6282,7180656,5,1
6286,7188272,5,1
6293,7198688,5,1
6333,7226128,5,1
6337,7229488,5,1
6342,7236880,5,1
6360,7253792,5,1
6426,7314944,5,1
6438,7323232,5,1
6460,7340256,5,1
6477,7352240,5,1
6538,7400176,5,1
6539,7404208,5,1
6546,7407344,5,1
6557,7414288,5,1
6566,7424816,5,1
6567,7425376,5,1
6580,7438816,5,1
6598,7455616,5,1
6612,7468720,5,1
6620,7473200,5,1
6639,7483616,5,1
6667,7503104,5,1
6688,7524496,5,1
6696,7527520,5,1
6742,7565152,5,1
6756,7575456,5,1
6763,7579824,5,1
6768,7586992,5,1
6783,7595728,5,1
6789,7600544,5,1
6820,7639744,5,1
6822,7641648,5,1
6850,7665056,5,1
6857,7673792,5,1
6876,7683760,5,1
6904,7712656,5,1
6912,7719712,5,1
6945,7755440,5,1
6951,7761712,5,1
6974,7783440,5,1
6976,7784672,5,1
6977,7785008,5,1
6988,7794752,5,1
6996,7801920,5,1
6999,7803488,5,1
7003,7811440,5,1
7010,7819952,5,1
7012,7822976,5,1
7056,7858368,5,1
7060,7861616,5,1
7095,7892976,5,1
7096,7898800,5,1
7102,7903280,5,1
7106,7904176,5,1
7126,7920640,5,1
7151,7939008,5,1
7168,7949984,5,1
7186,7964320,5,1
7219,7997584,5,1
7250,8022000,5,1
7265,8036000,5,1
7282,8050000,5,1
7284,8051344,5,1
7285,8052576,5,1
7287,8053024,5,1
7350,8124032,5,1
7356,8130528,5,1
7387,8167040,5,1
7392,8169952,5,1
7414,8197056,5,1
7415,8197168,5,1
7420,8202432,5,1
7446,8226176,5,1
7461,8242304,5,1
7466,8248912,5,1
7470,8252944,5,1
7476,8260000,5,1
7485,8268176,5,1
7489,8269744,5,1
7520,8292928,5,1
7552,8331904,5,1
7567,8342880,5,1
7572,8345008,5,1
7595,8371552,5,1
7598,8377936,5,1
7601,8379728,5,1
7622,8404256,5,1
7628,8411424,5,1
7631,8412992,5,1
7635,8417584,5,1
7670,8460928,5,1
7688,8482768,5,1
7698,8495872,5,1
7704,8501696,5,1
7706,8503488,5,1
7732,8538096,5,1
7738,8541344,5,1
7739,8541568,5,1
7752,8558816,5,1
7795,8607088,5,1
7802,8611344,5,1
7803,8614816,5,1
7807,8617728,5,1
7817,8623552,5,1
7819,8627136,5,1
7824,8634416,5,1
7849,8659280,5,1
7863,8676864,5,1
7870,8683024,5,1
7881,8698144,5,1
7887,8708784,5,1
7893,8714048,5,1
7895,8719088,5,1
7941,8780464,5,1
7943,8783040,5,1
7949,8788640,5,1
7979,8828288,5,1
8013,8857408,5,1
8069,8913296,5,1
8097,8932224,5,1
8101,8935808,5,1
8107,8943760,5,1
8145,8987104,5,1
8146,8988000,5,1
8151,8994944,5,1
8186,9023392,5,1
8204,9040192,5,1
8206,9044784,5,1
8230,9066848,5,1
8246,9089136,5,1
8252,9097872,5,1
8259,9109632,5,1
8304,9159248,5,1
8318,9174592,5,1
8330,9186576,5,1
8331,9186800,5,1
8342,9194640,5,1
8359,9205392,5,1
8368,9213568,5,1
8376,9217712,5,1
8377,9217824,5,1
8387,9233616,5,1
8390,9236192,5,1
8392,9239440,5,1
8406,9253776,5,1
8423,9268224,5,1
8424,9268448,5,1
8429,9274160,5,1
8463,9315824,5,1
8474,9332064,5,1
8483,9343040,5,1
8485,9349088,5,1
8487,9350432,5,1
8499,9363872,5,1
8501,9365888,5,1
8512,9378096,5,1
8540,9415840,5,1
8568,9435216,5,1
8578,9443504,5,1
8602,9457168,5,1
8606,9460416,5,1
8611,9463888,5,1
8622,9470832,5,1
8635,9481248,5,1
8651,9490320,5,1
8666,9500624,5,1
8685,9510592,5,1
8694,9519328,5,1
