,level_0,index,Sub_flag,subscription,customer_id,Recency_flag,Refreq,points
17714,17658,23087,4,1,18189584,4,0,10
17715,17724,19236,4,1,18256560,4,5,17
17716,17734,22613,4,1,18264848,4,0,4
17717,17740,26234,4,1,18284336,5,0,6
17718,17750,2593,4,1,18299344,5,0,10
17719,17755,3696,4,1,18301808,5,0,8
17720,17774,12596,4,1,18316704,5,0,1
17721,17778,14143,4,1,18317936,5,4,16
17722,17783,17466,4,1,18324208,5,0,1
17723,17785,17851,4,1,18325664,4,0,4
17724,17788,19779,4,1,18329136,4,3,9
17725,17795,22752,4,1,18337760,4,4,10
17726,17806,25355,4,1,18343024,4,4,12
17727,17824,28869,4,1,18366432,5,0,10
17728,17832,3911,4,1,18377744,4,0,2
17729,17841,17324,4,1,18385696,5,2,10
17730,17858,28876,4,1,18403616,5,5,6
17731,17876,3627,4,1,18424672,5,4,8
17732,17901,10055,4,1,18453344,4,0,2
17733,17906,11266,4,1,18461856,5,5,7
17734,17929,15606,4,1,18484368,4,4,7
17735,17956,19647,4,1,18515840,4,5,20
17736,17979,23037,4,1,18542048,5,1,13
17737,17991,25291,4,1,18555936,5,0,5
17738,18012,28005,4,1,18575984,5,0,12
17739,18072,20578,4,1,18650688,4,5,11
17740,18094,28755,4,1,18669952,2,0,8
17741,18123,12878,4,1,18720352,4,0,2
17742,18127,14421,4,1,18723600,4,5,13
17743,18170,24481,4,1,18761120,5,0,15
17744,18233,27580,4,1,18831344,5,0,8
17745,18250,4667,4,1,18845680,4,0,4
17746,18253,463,4,1,18849376,5,3,11
17747,18287,11974,4,1,18890592,4,0,8
17748,18320,6353,4,1,18913776,5,4,19
17749,18321,6509,4,1,18914000,4,4,6
17750,18334,10490,4,1,18923520,4,5,15
17751,18337,12148,4,1,18924864,4,0,3
17752,18341,14695,4,1,18928448,5,0,10
17753,18352,13613,4,1,18938640,5,5,9
17754,18357,358,4,1,18948608,5,5,9
17755,18393,7751,4,1,18987360,5,5,15
17756,18399,9415,4,1,18990160,4,5,9
17757,18400,9634,4,1,18991168,5,0,1
17758,18446,21668,4,1,19050304,5,0,6
17759,18459,25440,4,1,19066320,4,0,4
17760,18460,25644,4,1,19070016,5,5,20
17761,18471,915,4,1,19087488,5,5,15
17762,18534,5268,4,1,19165552,5,1,5
17763,18539,6236,4,1,19172384,5,0,2
17764,18551,11725,4,1,19194672,5,0,4
17765,18593,18743,4,1,19237456,4,5,8
17766,18679,5816,4,1,19384624,5,0,3
17767,18715,16602,4,1,19445104,4,5,7
17768,18768,3241,4,1,19502112,5,5,9
17769,18786,12653,4,1,19527200,5,0,3
17770,18788,13270,4,1,19531232,4,5,9
17771,18794,16280,4,1,19535824,5,0,10
17772,18803,20608,4,1,19543104,4,5,15
17773,18819,1927,4,1,19567184,4,0,3
17774,18829,6627,4,1,19576480,4,3,5
17775,18869,27933,4,1,19620384,1,5,8
17776,18880,2166,4,1,19637072,4,0,3
17777,18884,4588,4,1,19639536,5,0,3
17778,18933,4662,4,1,19699680,4,5,13
17779,18951,8936,4,1,19722528,5,0,2
17780,18961,10557,4,1,19732608,3,0,4
17781,18993,18475,4,1,19783456,5,0,3
17782,19082,29464,4,1,19891648,3,0,6
17783,19102,10317,4,1,19914944,5,0,4
17784,19120,20742,4,1,19944736,4,5,15
17785,19121,20747,4,1,19946528,4,3,6
17786,19187,18296,4,1,20027392,5,4,9
17787,19195,20315,4,1,20045760,4,0,5
17788,19236,26944,4,1,20104224,5,0,10
17789,19260,29274,4,1,20131440,5,5,13
17790,19298,23397,4,1,20178480,5,0,2
17791,19331,2597,4,1,20223952,5,4,10
17792,19348,4758,4,1,20250384,4,4,6
17793,19367,8390,4,1,20274240,5,4,14
17794,19370,8719,4,1,20281520,4,5,15
17795,19441,16680,4,1,20360704,4,0,4
17796,19448,17283,4,1,20368992,5,4,5
17797,19454,18266,4,1,20374368,4,5,15
17798,19466,19720,4,1,20387360,5,0,6
17799,19480,21255,4,1,20401696,5,0,3
17800,19482,21295,4,1,20402480,5,5,13
17801,19503,23143,4,1,20427344,5,2,5
17802,19522,24542,4,1,20452096,5,0,4
17803,19555,26819,4,1,20494432,5,0,4
17804,19561,27362,4,1,20501040,5,5,13
17805,19564,27488,4,1,20504064,5,0,10
17806,19635,10869,4,1,20594336,5,5,15
17807,19669,19105,4,1,20639248,4,0,1
17808,19684,23002,4,1,20662208,5,0,1
17809,19714,29791,4,1,20698608,4,0,5
17810,19724,2780,4,1,20724144,5,5,9
17811,19760,8662,4,1,20762000,4,0,8
17812,19790,11914,4,1,20791232,5,5,7
17813,19792,12266,4,1,20792128,5,0,1
17814,19814,14370,4,1,20827408,4,0,4
17815,19880,20015,4,1,20911968,5,5,13
17816,19895,21097,4,1,20928768,5,4,12
17817,19904,21617,4,1,20940416,5,3,11
17818,19913,22444,4,1,20955424,5,0,2
17819,19935,24147,4,1,20991824,4,0,5
17820,19950,25276,4,1,21006832,5,5,15
17821,19977,26665,4,1,21034272,5,5,8
17822,19983,26895,4,1,21040992,5,5,8
17823,20025,28029,4,1,21094752,5,5,10
17824,20061,29117,4,1,21134960,5,5,11
17825,20103,4232,4,1,21184240,5,0,3
17826,20207,26407,4,1,21312480,4,0,10
17827,20227,28962,4,1,21330848,4,5,20
17828,20230,29218,4,1,21332080,5,5,9
17829,20253,1628,4,1,21363328,1,4,14
17830,20259,8742,4,1,21368928,4,4,19
17831,20282,9762,4,1,21390208,5,5,15
17832,20311,11501,4,1,21416864,5,5,7
17833,20415,26587,4,1,21556304,4,5,9
17834,20427,21257,4,1,21584864,4,5,13
17835,20504,26645,4,1,21715792,4,5,8
17836,20511,1954,4,1,21730576,5,0,4
17837,20515,5536,4,1,21732816,4,0,6
17838,20526,9958,4,1,21744912,5,5,13
